deal,opp_id,ok,win,mom,eng
"Banc of California, Inc.",006P700000YMTFt,True,20.0,40.0,10.10
Deutsche Telekom AG,006P700000ZdMkT,True,13.0,24.0,10.10
New Zealand Ministry of Defe,006P700000ZhKtm,True,15.0,29.0,10.10
Veritiv,006P700000ZUWcb,True,10.0,15.0,10.10
Valiram Group,006P700000Yoxqz,True,20.0,26.0,10.10
Vitamix Corp,006P700000PQo2n,True,10.0,8.0,10.10
DOCAPOSTE,006P700000R3E0T,True,17.0,12.0,10.10
Metroselskabet,006P700000ROeSz,True,20.0,28.0,10.10
PARSONS INTERNATIONAL LIMITE,006P700000Z92Mb,True,33.0,52.0,10.10
Bright Horizons Family Solut,006P700000aElYc,True,12.0,30.0,10.10
Changi Airport Group (Singap,006P700000FEVJR,True,10.0,14.0,10.10
Teladoc Health Inc,006P700000K0d7V,True,10.0,4.0,10.10
Refresco Group,006P700000P3DdT,True,10.0,18.0,10.10
CHEP,006P700000Q0UvB,True,14.0,12.0,10.10
Goldman Sachs,006P700000Qr3Ll,True,15.0,20.0,10.10
Newrez LLC,006P700000U5ssv,True,10.0,8.0,10.10
Associated Materials,006P700000V0sBW,True,12.0,4.0,10.10
Axens,006P700000VP0cV,True,10.0,8.0,10.10
Bekaert,006P700000VX0Vd,True,15.0,22.0,10.10
Optimus Steel LLC,006P700000WuJTn,True,14.0,10.0,10.10
Pacific Seafood,006P700000XqQGL,True,10.0,26.0,10.10
Carmeuse,006P700000YhH6r,True,15.0,34.0,10.10
Crusoe Energy Systems,006P700000a4lJl,True,20.0,50.0,10.10
Bundesdruckerei GmbH,006P700000aAHu5,True,16.0,29.0,10.10
Eskom Holdings SOC Ltd,006P700000aAw61,True,18.0,35.0,10.10
Quadient,006P700000aBj5A,True,15.0,20.0,10.10
Zeppelin Systems GmbH,006P700000aDy03,True,13.0,36.0,10.10
Marquardt Management SE,006P700000aEbPZ,True,14.0,32.0,10.10
Corus Entertainment Inc,006P700000Xmnhn,True,17.0,10.0,10.10
Roark Capital Group Inc.,006P700000YjeQk,True,14.0,21.0,10.10
